# key	a	b	extra
ipt_REJECT	0x0	0x0	kernel/net/ipv4/netfilter/ipt_REJECT
ipt_SYNPROXY	0x0	0x0	kernel/net/ipv4/netfilter/ipt_SYNPROXY
ipt_ah	0x0	0x0	kernel/net/ipv4/netfilter/ipt_ah
ipt_rpfilter	0x0	0x0	kernel/net/ipv4/netfilter/ipt_rpfilter
iptable_filter	0x0	0x0	kernel/net/ipv4/netfilter/iptable_filter
iptable_mangle	0x0	0x0	kernel/net/ipv4/netfilter/iptable_mangle
iptable_nat	0x0	0x0	kernel/net/ipv4/netfilter/iptable_nat
iptable_raw	0x0	0x0	kernel/net/ipv4/netfilter/iptable_raw
iptable_security	0x0	0x0	kernel/net/ipv4/netfilter/iptable_security
ipvlan	0x0	0x0	kernel/drivers/net/ipvlan/ipvlan
ipvtap	0x0	0x0	kernel/drivers/net/ipvlan/ipvtap
irqbypass	0x0	0x0	kernel/virt/lib/irqbypass
iscsi_boot_sysfs	0x0	0x0	kernel/drivers/scsi/iscsi_boot_sysfs
iscsi_ibft	0x0	0x0	kernel/drivers/firmware/iscsi_ibft
iscsi_target_mod	0x0	0x0	kernel/drivers/target/iscsi/iscsi_target_mod
iscsi_tcp	0x0	0x0	kernel/drivers/scsi/iscsi_tcp
isofs	0x0	0x0	kernel/fs/isofs/isofs
iw_cm	0x0	0x0	kernel/drivers/infiniband/core/iw_cm
ixgbe	0x0	0x0	kernel/drivers/net/ethernet/intel/ixgbe/ixgbe
ixgbevf	0x0	0x0	kernel/drivers/net/ethernet/intel/ixgbevf/ixgbevf
joydev	0x0	0x0	kernel/drivers/input/joydev
jsm	0x0	0x0	kernel/drivers/tty/serial/jsm/jsm
krb5	0x0	0x0	kernel/crypto/krb5/krb5
krb5enc	0x0	0x0	kernel/crypto/krb5enc
ksmbd	0x0	0x0	kernel/fs/smb/server/ksmbd
kvm	0x0	0x0	kernel/arch/x86/kvm/kvm
kvm_amd	0x0	0x0	kernel/arch/x86/kvm/kvm_amd
kvm_intel	0x0	0x0	kernel/arch/x86/kvm/kvm_intel
kyber_iosched	0x0	0x0	kernel/block/kyber_iosched
lapb	0x0	0x0	kernel/net/lapb/lapb
lattice_sysconfig	0x0	0x0	kernel/drivers/fpga/lattice_sysconfig
lattice_sysconfig_spi	0x0	0x0	kernel/drivers/fpga/lattice_sysconfig_spi
lec	0x0	0x0	kernel/net/atm/lec
libahci	0x0	0x0	kernel/drivers/ata/libahci
libahci_platform	0x0	0x0	kernel/drivers/ata/libahci_platform
libarc4	0x0	0x0	kernel/lib/crypto/libarc4
libceph	0x0	0x0	kernel/net/ceph/libceph
libcurve25519	0x0	0x0	kernel/lib/crypto/libcurve25519
libcurve25519_generic	0x0	0x0	kernel/lib/crypto/libcurve25519_generic
libdes	0x0	0x0	kernel/lib/crypto/libdes
libie	0x0	0x0	kernel/drivers/net/ethernet/intel/libie/libie
libie_adminq	0x0	0x0	kernel/drivers/net/ethernet/intel/libie/libie_adminq
libiscsi	0x0	0x0	kernel/drivers/scsi/libiscsi
libiscsi_tcp	0x0	0x0	kernel/drivers/scsi/libiscsi_tcp
libpoly1305_generic	0x0	0x0	kernel/lib/crypto/libpoly1305_generic
libsas	0x0	0x0	kernel/drivers/scsi/libsas/libsas
libsm3	0x0	0x0	kernel/lib/crypto/libsm3
linear	0x0	0x0	kernel/drivers/md/linear
llc	0x0	0x0	kernel/net/llc/llc
llc2	0x0	0x0	kernel/net/llc/llc2
lockd	0x0	0x0	kernel/fs/lockd/lockd
lp	0x0	0x0	kernel/drivers/char/lp
lpfc	0x0	0x0	kernel/drivers/scsi/lpfc/lpfc
lru_cache	0x0	0x0	kernel/lib/lru_cache
lrw	0x0	0x0	kernel/crypto/lrw
lz4	0x0	0x0	kernel/crypto/lz4
lz4_compress	0x0	0x0	kernel/lib/lz4/lz4_compress
lz4hc	0x0	0x0	kernel/crypto/lz4hc
lz4hc_compress	0x0	0x0	kernel/lib/lz4/lz4hc_compress
macsec	0x0	0x0	kernel/drivers/net/macsec
macvlan	0x0	0x0	kernel/drivers/net/macvlan
macvtap	0x0	0x0	kernel/drivers/net/macvtap
mana_ib	0x0	0x0	kernel/drivers/infiniband/hw/mana/mana_ib
mce_inject	0x0	0x0	kernel/arch/x86/kernel/cpu/mce/mce_inject
md4	0x0	0x0	kernel/crypto/md4
md_cluster	0x0	0x0	kernel/drivers/md/md_cluster
mdev	0x0	0x0	kernel/drivers/vfio/mdev/mdev
mdio	0x0	0x0	kernel/drivers/net/mdio
megaraid_mbox	0x0	0x0	kernel/drivers/scsi/megaraid/megaraid_mbox
megaraid_mm	0x0	0x0	kernel/drivers/scsi/megaraid/megaraid_mm
